human_r1	human_r2	mouse_r1	mouse_r2	cattle_r1	cattle_r2	pig_r1	pig_r2	opossum_r1	opossum_r2
ENSG00000106771:TMEM245	19.49	24.78	13.96	8	12.66	7.93	13.86	27.06	6.1	3.01
ENSG00000106780:MEGF9	2.26	3.28	4.49	2.64	6.46	1.01	0.77	0.94	5.3	0.45
ENSG00000106785:TRIM14	2.85	4.38	3.37	3.04	0.36	0.35	0.12	0.28	5.22	3.62
ENSG00000106789:CORO2A	0.61	2.16	5.98	11.78	35.38	16	0.37	0.76	5.34	0.81
ENSG00000106799:TGFBR1	44.65	56.88	28.39	17.15	47.57	41.93	8	12.02	19.37	0.58
ENSG00000106803:SEC61B	71.82	65.28	108.37	131.26	93.75	97.02	11.02	19.92	64.94	151.99
ENSG00000106809:OGN	0.38	2.32	5.13	4.33	3.58	0.81	0.05	0.1	3.35	26.84
ENSG00000106819:ASPN	0.22	1.22	1.5	1.38	53.92	81.74	0.06	0.15	0.71	0.65
ENSG00000106829:TLE4	14.16	19.88	7.84	8.58	14.04	19.78	2.13	5	3.53	1.39
ENSG00000106852:LHX6	2.39	2.82	3.25	1.51	2.28	2.26	0.19	0.42	0.66	0.33
ENSG00000106853:PTGR1	6.74	8.64	6.47	7.14	137.38	88.59	6.01	8.21	339.97	31.15
ENSG00000106868:SUSD1	12.35	17.22	17.02	17.03	1.69	1.08	0.9	1.55	0.72	0.46
ENSG00000106927:AMBP	0	0	0.28	10.24	0.41	0.31	0.01	0	0.34	1.03
ENSG00000106948:AKNA	4.72	9.8	2.26	2.24	3.22	2.71	0.22	0.74	0.93	0.58
ENSG00000106952:TNFSF8	0.6	1.55	0.06	0.04	2.19	1.11	0.1	0.23	0.11	0
ENSG00000106976:DNM1	22.63	8.01	7.19	10.46	4.81	5.46	0.25	0.76	5.1	3.6
ENSG00000106991:ENG	124.01	124.69	74.62	79.29	92.91	135.06	5.43	24.16	43.46	34.48
ENSG00000106992:AK1	6.9	8.19	21.4	16.83	71.08	73.8	1.33	2.39	25.95	51.64
ENSG00000106993:CDC37L1	7.62	10.12	24.96	29.57	26.48	23.1	2.73	4.51	62.74	33.99
ENSG00000107020:PLGRKT	12.43	14.16	78.27	290.07	27.42	31.31	6.18	6.26	1.35	3.43
ENSG00000107021:TBC1D13	6.1	9.44	25.32	32.87	28.37	25.65	3.04	10.14	8.31	11.45
ENSG00000107036:RIC1	16.49	21.51	23.36	12.73	9.45	9.12	4.33	7.89	21.14	10.52
ENSG00000107077:KDM4C	13.35	15.08	11.41	8.71	10.58	13.65	1.6	3.58	9.81	4.89
ENSG00000107104:KANK1	26.01	38.33	92	44.75	86.89	87.82	11.15	29.93	17.9	5.33
ENSG00000107105:ELAVL2	0	0.02	0.33	0	3.3	0.47	0.02	0.03	0.13	0
ENSG00000107130:NCS1	0.35	0.47	0.64	0.55	13.4	15.7	0.22	0.81	37.82	3.51
ENSG00000107140:TESK1	26.79	37.54	37.87	31.25	23.85	16.8	0.99	2.86	12.2	22.98
ENSG00000107147:KCNT1	0.04	0.83	1.65	1.94	0.51	0.21	0.09	0.31	0.12	0.12
ENSG00000107159:CA9	0.08	0	1.46	1.27	2.48	1.89	0.21	0.34	0.23	2.36
ENSG00000107164:FUBP3	67.31	80.09	23.89	19.8	55.79	42.67	5.08	10.87	29.41	12.37
ENSG00000107165:TYRP1	0.12	0	0	0	0	0	0.01	0	0.12	0.29
ENSG00000107175:CREB3	23.24	22.86	220.06	132.34	27.75	29.56	12.14	22.92	26.56	46.8
ENSG00000107185:RGP1	10.98	11.44	50.15	26.42	26.82	23.5	0.62	2.12	5.36	5.59
ENSG00000107187:LHX3	0	0	0.76	0.12	0.2	0.03	0	0	0.2	0
ENSG00000107223:EDF1	152.86	170.96	165.62	220.55	268.92	255.15	1.02	4.13	999.28	343.79
ENSG00000107242:PIP5K1B	11.42	14.31	4.25	13.22	1.13	1.54	4.31	10.32	7.23	4.66
ENSG00000107249:GLIS3	1.24	2.76	8.78	3.49	7.68	2.16	0.14	0.32	0.19	0.41
ENSG00000107262:BAG1	21.55	29.25	146.2	149.42	66.28	52.47	18.1	33.33	8.52	10.92
ENSG00000107263:RAPGEF1	55.72	80.42	117.5	61.33	37.22	32.55	1.52	5.24	8.59	1.08
ENSG00000107282:APBA1	2.2	3.48	7.44	2.74	1.29	0.31	0.05	0.12	0.99	0.26
ENSG00000107290:SETX	17.5	23.91	12.22	6.11	12.88	12	2.52	5.4	10.85	4.05
ENSG00000107295:SH3GL2	0	0	0.05	0.03	7.06	7.46	0.1	0.12	0.57	0.63
ENSG00000107331:ABCA2	4.1	8.16	7.81	5.92	1.72	1.99	0.95	3.83	163	71.52
ENSG00000107338:SHB	3.47	5.83	42.84	38.36	17.2	18.73	2.65	10.18	4.58	6.55
ENSG00000107341:UBE2R2	19.63	23.69	124.95	102.03	41.4	33.31	3.19	6.49	155.61	62.64
ENSG00000107362:ABHD17B	5.04	4.91	13.62	13.07	36.66	29.54	3.37	4.26	9.06	3.89
ENSG00000107371:EXOSC3	14.99	14.87	29.71	29.21	50.95	37.32	1.65	2.82	53.37	72.96
ENSG00000107372:ZFAND5	97.33	129.83	133.79	79.01	83.34	66.59	15.07	29.81	82.23	64.14
ENSG00000107404:DVL1	16.91	26.21	39.02	40.33	31.95	30.25	5.08	16.86	70.78	24.95
ENSG00000107438:PDLIM1	56.86	98.34	779.35	430.27	70.67	50.63	8.43	17.16	175.44	182.69
ENSG00000107443:CCNJ	4.18	4.6	6.31	3.91	14.52	13.34	0.57	0.96	3.22	2.51
ENSG00000107447:DNTT	0	0	0	0	0	0	0.08	0.02	0.12	0.08
ENSG00000107485:GATA3	69.97	83.93	36.07	17.51	82.13	98.56	4.29	14.67	1.25	1.53
ENSG00000107521:HPS1	13.23	18.68	13.99	10.27	15.11	14.62	1.44	4.03	11.47	6.24
ENSG00000107551:RASSF4	7.27	21.57	6.36	21.9	4.54	5.09	1.48	3.67	2.57	2.1
ENSG00000107554:DNMBP	9.47	14.59	22.94	15.39	22.83	16.97	1.39	3.25	7.92	5.58
ENSG00000107560:RAB11FIP2	9.21	12.13	8.16	6.26	14.6	12.2	1.38	1.99	4.28	0.92
ENSG00000107562:CXCL12	3.33	6.03	51.25	34.85	8.13	10.08	0.3	0.6	6.89	5.22
ENSG00000107581:EIF3A	74.6	68.64	109.05	89.12	125	109.41	15.35	30.51	190.13	33.41
ENSG00000107593:PKD2L1	0	0.03	0.21	0.21	3.63	1.05	0.01	0.03	0	0.26
ENSG00000107611:CUBN	1.44	4.31	2.63	82.13	0.18	0.12	0.02	0.04	3.16	2.33
ENSG00000107614:TRDMT1	3.24	2.46	3.27	2.87	14.97	14.01	0.43	0.57	1.36	4.66
ENSG00000107625:DDX50	15.41	14.98	66.3	58.41	16.57	13.8	2.87	4.67	35.06	33.33
ENSG00000107643:MAPK8	25.53	33.52	22.37	11.51	9.62	8.21	1.84	3.16	8.51	4.56
ENSG00000107651:SEC23IP	23.01	23.13	25.76	20.52	22.47	19.76	3.39	6.52	16.34	14.13
ENSG00000107669:ATE1	6.1	9.3	37.11	19.96	10.83	10.05	3.9	10.82	8.32	2.63
ENSG00000107679:PLEKHA1	65.44	67.96	78.84	50.87	53.8	39.15	2.25	3.62	30.71	7.27
ENSG00000107731:UNC5B	2.75	5	85.41	47.6	17.69	10.64	2.84	11.42	3.83	2.51
ENSG00000107742:SPOCK2	0.74	0.67	0.72	2.88	5.68	7.84	9.13	19.45	199.58	17.06
ENSG00000107745:MICU1	16.69	19.86	41.12	36.54	38.98	40.01	2.01	4.73	83.57	29.74
ENSG00000107758:PPP3CB	29.12	35.78	34.67	22.15	11.89	11.27	1.97	4.1	71.31	12.97
ENSG00000107771:CCSER2	24.57	28.74	25.41	13.17	24.01	24.32	10.21	19.81	26.45	2.51
ENSG00000107779:BMPR1A	9.65	16.77	50.79	26.73	12.45	12.36	4.31	7.66	15.2	2.53
ENSG00000107789:MINPP1	20.88	27.66	20.58	23.36	9.81	10.18	2.55	4.91	23.25	11.35
ENSG00000107796:ACTA2	69.92	305.09	140.36	104.98	752.88	530.96	169.34	419.28	0	0
ENSG00000107798:LIPA	53.87	63.72	42.31	49.67	165.56	162.39	5.77	11.73	55.23	17.11
ENSG00000107807:TLX1	0	0.03	0	0	0.11	0.58	0	0.02	0	0
ENSG00000107815:TWNK	1.67	1.84	12.76	8.27	7.91	8.52	0.52	1.03	6.55	11.2
ENSG00000107816:LZTS2	28.94	30.41	107.03	80.72	31.82	28.08	3.77	9.93	29.74	33.95
ENSG00000107819:SFXN3	20.08	30.28	27.29	31.04	4.8	3.81	0.84	2.65	0.18	0.14
ENSG00000107821:KAZALD1	0.95	1.67	1.6	1.28	2.09	2.89	0.02	0.03	0.1	0.33
ENSG00000107829:FBXW4	46.02	58.63	16.55	13.22	26.36	24.02	1.71	3.71	14.56	19.81
ENSG00000107831:FGF8	0	0.24	0.19	0	0.17	0	0	0	0	0.33
ENSG00000107833:NPM3	6.44	7.25	17.95	20.28	2.94	3.54	0.9	1.3	6.98	18.41
ENSG00000107854:TNKS2	60.68	70.34	86.42	55.14	173.54	200.29	28.09	43.59	10.85	2.61
ENSG00000107859:PITX3	0	0	0.04	0.06	0	0	0.01	0	0.12	0
ENSG00000107862:GBF1	22.6	24.73	27.4	26.37	23.79	21.42	2.18	6.11	27.69	20.87
ENSG00000107863:ARHGAP21	41.75	46.75	58.79	29.85	49.14	34.34	2.75	8.23	17.43	5.19
ENSG00000107864:CPEB3	1.64	2.55	3.58	3.03	2.65	2.02	0.28	0.88	0.84	0.22
ENSG00000107872:FBXL15	3.86	4.6	3.65	5.91	11.22	12.22	0.69	2.48	8.2	33.02
ENSG00000107874:CUEDC2	16.66	18.93	29.77	45.03	49.56	56.39	4.27	10.73	5.63	5.9
ENSG00000107882:SUFU	4.52	7.92	12.69	10.35	4.59	4.61	0.79	3.12	14	2.71
ENSG00000107897:ACBD5	9.75	11.56	25.56	19.63	31.42	32.84	4.9	8.06	11.84	7.38
ENSG00000107902:LHPP	4.77	7.8	3.5	6.8	30.05	24.33	1.46	3.46	8.92	13.38
ENSG00000107929:LARP4B	58.7	49.29	57.23	54.57	45.2	31.5	4.22	11.12	43.92	8.36
ENSG00000107937:GTPBP4	20.81	18.61	36.19	28.01	43.35	40.4	4.24	9.74	47.7	22.33
ENSG00000107938:EDRF1	8.52	13.37	14.91	18.68	9.07	7.51	1.47	2.93	12.85	11.71
ENSG00000107949:BCCIP	25.11	28.45	31.68	32.57	47.67	37.7	12.35	23.77	75.95	37.74
ENSG00000107951:MTPAP	5.57	6.21	19.43	15.32	13.23	10.81	2.86	5.23	17.47	9.53
ENSG00000107954:NEURL1	19.67	25.61	1.2	1.13	7.7	5.38	0.36	1.23	0	0.07
ENSG00000107957:SH3PXD2A	21.76	27.23	32.45	16.6	7.73	6.2	1.04	3.63	33.96	9.32
ENSG00000107959:PITRM1	21.15	26.55	67.98	43.63	26.24	24.48	2.68	5.06	11.69	6.47
ENSG00000107968:MAP3K8	34.29	43.83	9.49	9.76	24.4	21.6	1.09	2.03	5.74	6
ENSG00000107984:DKK1	1.38	6.64	7.21	3.61	98.47	138.66	0.02	0	2.04	1.37
ENSG00000108001:EBF3	2.87	4.12	0.89	2.28	0.36	0.56	0.17	0.45	0.2	0.06
ENSG00000108010:GLRX3	27.98	31.81	46	59.73	95.25	85.01	12.26	23.32	226.29	105.27
ENSG00000108018:SORCS1	0.01	0	0.48	0.57	0.17	0.18	0	0.05	0.08	0.05
ENSG00000108021:TASOR2	19.14	18.32	18.33	9.07	17.42	18.36	1.39	4.87	5.83	2
ENSG00000108039:XPNPEP1	37.98	43.2	165.33	110.42	33.71	29.29	4.16	9.3	40.12	27.86
ENSG00000108055:SMC3	17.47	22.82	32.29	23.9	37.14	38.12	7.82	12.18	86.36	11.68
ENSG00000108061:SHOC2	20.39	25.28	46.76	30.23	29.64	22.74	5.47	9.59	11.63	7.62
ENSG00000108064:TFAM	14.6	13.53	31.27	27.09	19.93	14.91	5.09	7.83	100.02	21.05
ENSG00000108091:CCDC6	12.83	17.41	59.9	35.24	22	13.6	3.05	6.85	9.94	23.23
ENSG00000108094:CUL2	29.74	26.4	27.82	23.97	16.94	15.36	3.1	5.25	32.63	23.39
ENSG00000108100:CCNY	31.06	36.03	81.07	41.57	117.86	109.02	5.66	13.41	8.66	6.65
ENSG00000108107:RPL28	311.34	439.94	243.86	341.37	881.33	723.7	14.25	32.74	635.95	1947.66
ENSG00000108175:ZMIZ1	16.98	20.07	122.55	44.92	11.33	7.35	0.95	4.2	13	2.07
ENSG00000108176:DNAJC12	0.09	0.11	3.39	3.82	7.75	6.66	0.19	0.38	5.41	8.17
ENSG00000108179:PPIF	23.53	18.76	18.15	14.06	32.35	31.05	4.96	7.69	57.41	11.06
ENSG00000108219:TSPAN14	71.94	101.03	226.15	144.3	72.77	65.18	5.94	10.25	105.38	14.76
ENSG00000108231:LGI1	0.04	0.13	0.02	0.02	0	0	0	0.01	0.68	2.67
ENSG00000108239:TBC1D12	7.05	9.59	5.92	3.2	12.37	10.64	1.52	2.38	35.73	9.98
ENSG00000108244:KRT23	268.53	238.82	3.16	1.59	0	0.07	0.08	0.07	118.69	14.29
ENSG00000108255:CRYBA1	0.09	0.11	0.04	0	0.28	0	0.04	0.07	0.13	0
ENSG00000108298:RPL19	403.59	443.66	755.04	799.75	1588.88	1385.18	0	0.06	0	7.91
ENSG00000108306:FBXL20	6.48	8.62	23.37	13.72	29.2	37.14	3.53	8.24	8.84	1.04
ENSG00000108309:RUNDC3A	1.02	1.9	1.22	4.57	0.19	0.19	0.17	0.61	2.75	12.85
ENSG00000108312:UBTF	35.66	46.35	46.13	39.74	56.09	47.45	4.6	14.28	84.23	32.99
ENSG00000108342:CSF3	0.19	0.23	0.1	0	0.24	0.06	0.17	0.73	0.19	5.11
ENSG00000108344:PSMD3	52.41	58.35	77.86	70.73	89.28	94.51	10.51	26.31	43.36	94.97
ENSG00000108349:CASC3	52.79	65.14	32.68	25.73	40.3	38.09	1.99	5.33	51.06	22.73
ENSG00000108352:RAPGEFL1	4.97	8.81	0.66	0.75	1.46	0.87	0.05	0.08	0.21	0.67
ENSG00000108375:RNF43	6.2	7.64	1.03	0.34	6.11	10.01	0.56	1.3	8.25	5.37
ENSG00000108379:WNT3	0.82	1.9	1	1.1	0	0	0.15	0.75	2.28	2
ENSG00000108381:ASPA	1.66	1.67	0.82	4.22	12.79	7.75	0.22	0.49	0.23	2.45
ENSG00000108384:RAD51C	18.33	23.84	1.46	1.81	7.64	8.11	0.42	0.64	1.1	0.05
ENSG00000108389:MTMR4	121.87	150.48	65.27	31.35	24.86	24.47	1.37	3.94	14.19	10.49
ENSG00000108395:TRIM37	11.34	12.83	4.45	3.44	9.25	8.2	1.48	2.76	11.23	4.82
ENSG00000108405:P2RX1	1.17	3.87	5.95	6.1	1.53	1.93	0.08	0.51	0.63	0.63
ENSG00000108406:DHX40	17.63	15.24	28.97	23.25	37.97	24.08	4.66	8.53	4.14	4.25
ENSG00000108423:TUBD1	3.16	4.4	3.53	5.35	9.68	13.21	0.61	1.11	1.1	2.87
ENSG00000108424:KPNB1	76.41	86.04	69.44	48.47	97.28	76.06	10.53	20.17	76.74	17.18
ENSG00000108433:GOSR2	34.74	31.91	90.79	63.93	20.78	14.09	5.99	12.56	22.93	8.75
ENSG00000108439:PNPO	6.4	10.39	53.03	45.43	9.18	6.64	2.78	5.97	10	9.16
ENSG00000108443:RPS6KB1	21.47	25.47	16.97	17.62	39.48	33.45	2.59	4.62	0.74	0.53
ENSG00000108465:CDK5RAP3	62.91	86.48	33.77	27.44	28.05	27.44	3.26	7.23	39.32	44.69
ENSG00000108469:RECQL5	127.8	149.3	19.22	15.81	6.72	9.94	0.87	2.34	12.68	24.7
ENSG00000108474:PIGL	28.3	42.21	7.7	3.44	18.07	16.8	0.58	1.37	4.41	9.32
ENSG00000108479:GALK1	3.01	6.12	52.98	44.72	99.8	100.42	12.41	32.37	40.99	25.2
ENSG00000108506:INTS2	4.26	5.62	12.57	7.32	5.91	6.17	0.87	1.37	8.34	3.03
ENSG00000108509:CAMTA2	17.6	24.64	22.73	13.52	47.55	47.69	1.41	5.34	20.34	9.1
ENSG00000108510:MED13	38.27	35.85	36.89	14.77	12.26	9.96	8.01	15.7	35.67	7.02
ENSG00000108511:HOXB6	2.04	2.28	2.02	2.55	1.32	5.3	0.18	0.69	138.84	81.52
ENSG00000108515:ENO3	10.12	17.32	10.27	8.88	24.4	21.17	0.17	0.58	49.76	13.36
ENSG00000108523:RNF167	62.6	73.93	134.19	102.63	71.68	69.75	7.75	20.93	168.91	130.86
ENSG00000108528:SLC25A11	26.87	28.12	52.19	48	44.04	41.15	2.52	7.24	28.29	41.51
ENSG00000108551:RASD1	0.17	0.41	33.53	22.67	10.16	9.72	3.61	7.51	3.85	12.35
ENSG00000108556:CHRNE	0.63	0.8	0	0.05	2.86	2.32	0.01	0.05	0	0.04
ENSG00000108557:RAI1	2.23	5.85	29.54	14	4.06	4.19	0.39	1.78	3	2.57
ENSG00000108559:NUP88	41.21	39.3	40.41	42.97	31.93	29.92	5.01	9.26	20.1	23.09
ENSG00000108561:C1QBP	58.85	70.71	45.85	55.66	83.74	66.85	7.24	12.65	146.1	115.82
ENSG00000108576:SLC6A4	29.05	32.01	22.31	13.15	7.15	6.99	0.33	1.32	0.11	0.03
ENSG00000108578:BLMH	19.41	21.8	32.12	21.87	60.78	47.33	5	9.9	153.38	47.34
ENSG00000108582:CPD	48.14	41.54	58.39	32.7	91.02	59.15	6.63	12.19	20.8	15.55
ENSG00000108587:GOSR1	28.03	32.96	25.54	18.75	46.44	35.86	6.8	9.71	23.36	6.85
ENSG00000108588:CCDC47	105.64	92.3	62.23	52.52	109.4	112.98	20.39	33.91	59.73	22.04
ENSG00000108591:DRG2	17.42	19.6	24.39	31.36	20.23	20.44	2.85	8.3	20.74	44.76
ENSG00000108592:FTSJ3	15.83	23.86	28.39	17.35	19.51	17.39	3.9	7.78	33.19	27.49
ENSG00000108599:AKAP10	10.58	15.06	18.27	11.47	19.81	17.52	2.37	6.79	54	12.5
ENSG00000108604:SMARCD2	87.44	97.23	47.74	47.97	38.38	34.71	7.31	17.41	41.63	37.79
ENSG00000108622:ICAM2	26.1	31.41	21.24	21.31	14.55	18.33	6.47	15.72	5.27	18.42
ENSG00000108639:SYNGR2	117.23	93.04	92.62	95.42	79.02	60.66	3.94	11.52	66.49	131.09
ENSG00000108641:B9D1	5.43	6.39	12.11	9.58	21.05	14.37	1.16	2.34	11.59	25.9
ENSG00000108651:UTP6	33.51	39.68	24.9	17.43	98.21	76.48	2.57	5.03	18.46	14.45
ENSG00000108666:C17orf75	10.03	13.87	4.38	3.4	7.84	6.58	1.5	2.36	8.28	5.31
ENSG00000108669:CYTH1	20.03	28.71	41.72	25.96	32.64	28.82	2	7.56	25.21	5.71
ENSG00000108671:PSMD11	51.47	60.9	53.92	58.85	73.53	65.44	3.38	8.69	75.91	29.06
ENSG00000108684:ASIC2	0	0.08	0.43	0.38	0	0	0.1	0.98	0.37	1.82
ENSG00000108733:PEX12	4.79	4.27	10.28	9.41	5.43	4.79	0.29	0.4	18.22	21.5
ENSG00000108759:KRT32	0	0	0	0	0	0	0.08	0.13	0	0
ENSG00000108771:DHX58	5.79	7.39	4.63	4.44	7.04	7.46	0.46	0.78	10.92	20.4
ENSG00000108773:KAT2A	18.04	32.33	12.6	11.86	11.18	11.35	1.73	4.6	19.33	59.98
ENSG00000108774:RAB5C	79.31	97.2	97.91	112.07	339.71	318.74	19.61	33.1	54.7	53.02
ENSG00000108784:NAGLU	12.83	21.64	66.2	65.46	20.85	26.78	2.34	4.78	29.86	25.39
ENSG00000108786:HSD17B1	447.37	658.03	0.07	0.31	0.59	2.17	0.21	0.79	4.23	8.79
ENSG00000108788:MLX	24.34	27.24	23.09	30.73	39.57	41.21	5.38	11.7	66.08	36.9
ENSG00000108797:CNTNAP1	2.98	4.95	0.39	0.41	1.14	1.09	0.07	0.18	2.62	3.1
ENSG00000108799:EZH1	26.62	31.33	35.63	28.54	14.94	14.3	2.35	5.72	11.72	6.37
ENSG00000108813:DLX4	23.8	40.48	2.28	2.27	10.98	14.17	0.79	2.64	14.49	22.51
ENSG00000108819:PPP1R9B	11.73	19.24	37.45	28.46	34.66	31	5.52	11.46	19.72	6.18
ENSG00000108821:COL1A1	85.37	234.2	97.53	64.43	177.18	154.61	3.35	33.75	286.82	155.76
ENSG00000108823:SGCA	1.54	2.03	0.03	0	1.05	0.79	0.1	0.33	0.54	2.85
ENSG00000108826:MRPL27	30.18	27.53	46.49	42.43	175.33	157.39	1.44	3.18	15.71	71.3
ENSG00000108828:VAT1	29.35	33.03	198.94	193.57	206.25	200.94	11.55	20.31	65.77	153.55
ENSG00000108829:LRRC59	59.54	51.22	98.39	75.35	45.6	30.93	8.61	15.53	57.15	11.78
ENSG00000108830:RND2	0.12	0.15	61.37	48.47	25.63	25.95	2.24	4.52	1.04	4.57
ENSG00000108840:HDAC5	85.58	92.25	50.01	50.38	66	59.66	3.87	11.46	29.75	27.18
ENSG00000108846:ABCC3	7.82	7.8	4.34	2.11	7.19	3.88	0.99	1.61	19.29	38.11
ENSG00000108848:LUC7L3	88.31	131.03	54.85	40.5	174.06	190.43	4.49	7.21	299.33	35.08
ENSG00000108852:MPP2	1.61	1.81	2.33	1.9	0.47	0.26	0.07	0.12	1.41	0.24
ENSG00000108854:SMURF2	11.7	15.55	42.66	25.6	21.43	16.59	5.45	8.82	19.53	5.11
ENSG00000108878:CACNG1	0.12	0	0.36	0	0	0	0	0.01	0.08	0.5
ENSG00000108883:EFTUD2	43.89	40.83	44.89	41.9	39.99	36.18	5.82	13.34	27.67	22.93
ENSG00000108924:HLF	26.51	49.75	0.86	0.71	3.56	2.08	0.2	0.37	0.4	0.05
ENSG00000108932:SLC16A6	0.48	1.89	23.79	14.56	6.3	3.06	0.04	0.1	2.06	2.02
ENSG00000108946:PRKAR1A	144.88	168.24	99.43	91.4	432.57	305.92	23.31	40.15	600.88	93.19
ENSG00000108947:EFNB3	0.33	0.55	0.59	0.3	0.51	0.2	0.04	0.17	0.97	3.1
ENSG00000108950:FAM20A	4.57	9.74	6.16	6.14	24.45	15.66	0.44	1.08	3.22	1.33
ENSG00000108953:YWHAE	379.21	385.94	241.74	193.11	400.74	362.85	82.62	155.36	392.05	124.83
ENSG00000108960:MMD	52.86	50.57	14.79	12.74	26.2	27.39	6.74	11.51	12.51	10.75
ENSG00000108961:RANGRF	21.22	20.2	4.25	5.66	5.95	4.63	0.81	2.61	22.74	74.86
ENSG00000108963:DPH1	23.01	33.54	7.96	9.96	10.06	10.83	1.4	3.73	2.42	7.46
ENSG00000108984:MAP2K6	0.82	1.26	12.45	7.56	54.25	15.07	0.06	0.1	2.08	0.4
ENSG00000109016:DHRS7B	13.2	15.79	17.17	12.05	22.85	24	1.17	2.04	19.26	13.5
ENSG00000109047:RCVRN	0.08	0.4	0	0	0	0	0.09	0.64	0	0
ENSG00000109062:NHERF1	39.2	52.93	116.83	127.82	22.54	20.69	8.63	26.55	650.18	284.42
ENSG00000109063:MYH3	2.96	3.56	0.07	0.01	0.18	0.63	0.04	0.17	3.31	0.5
ENSG00000109065:NAT9	19.14	25.12	73.12	71.16	22.41	29.85	1.63	3.41	33.02	17.02
ENSG00000109066:TMEM104	7.28	9.52	72.84	43.68	6.95	5.58	0.3	1.31	10.61	10.09
ENSG00000109072:VTN	1.42	6.67	0.43	18.15	0	0	0.21	0.64	22.92	65.55
ENSG00000109079:TNFAIP1	58.89	54.93	57.48	49.94	24.61	25.88	2.83	6.46	7.92	5.72
ENSG00000109083:IFT20	46.51	56.48	81.98	96.62	50.93	45.58	3.19	4.31	486.28	94.41
ENSG00000109084:TMEM97	6.66	8.37	15.93	27.17	112.48	133.2	10.45	22.91	11.74	22.61
ENSG00000109089:CDR2L	8.4	13.5	11.52	7.85	21.14	19.48	1.43	4.01	82.92	9.48
ENSG00000109099:PMP22	30.09	82.75	79.57	148.02	8.25	8.65	4.78	8.85	15.94	23.28
ENSG00000109101:FOXN1	0.11	0.18	0.09	0.17	0.07	0	0.01	0.01	2.28	1.09
ENSG00000109103:UNC119	10.81	18.49	33.29	18.78	11.05	8.98	0.51	0.79	9.53	3.66
ENSG00000109107:ALDOC	0.52	0.82	1.73	5.02	48.66	46.31	0.88	2	24.95	15.38
ENSG00000109111:SUPT6H	42.07	53.44	49.06	34.77	35.46	31.91	4.56	12.82	65.31	25.33
ENSG00000109113:RAB34	12.56	18.52	14.81	15.18	78.63	74.08	3.14	6.41	7.49	5.22
ENSG00000109118:PHF12	29.92	44.96	41.99	35.22	15.58	14.59	0.95	2.33	32.76	23.26
ENSG00000109132:PHOX2B	0	0	0.04	0	0	0	0	0.01	0	0
ENSG00000109133:TMEM33	37.8	31.93	66.28	67.63	27.71	26.06	6.63	12.49	25.92	18.75
ENSG00000109158:GABRA4	4.2	8.08	0	0	0.08	0.02	0.01	0.09	0.04	0
ENSG00000109171:SLAIN2	95.14	99.71	25.64	19.61	23.38	25.03	2.61	5.31	16.53	2.76
ENSG00000109180:OCIAD1	95.72	99.54	143.96	128.77	157.38	193.15	13.37	24.25	62.08	29.11
ENSG00000109184:DCUN1D4	9.64	13.47	17.25	15.27	5.71	3.88	1.26	2.49	3.26	0.49
ENSG00000109189:USP46	18.18	24.75	26.24	21.74	13.1	10.81	3.51	8.5	28.05	2.41
ENSG00000109205:ODAM	0.2	0.41	0.07	0	0	0	0	0	0.52	3.27
ENSG00000109220:CHIC2	11.39	11.86	64.82	51.95	35.71	31.37	1.42	2.52	43.4	9.88
ENSG00000109265:CRACD	2.92	2.49	0.25	1.42	10.42	7.26	1.09	2.46	186.59	6.88
ENSG00000109270:LAMTOR3	46.35	60.75	51.06	51.62	61.74	60.17	8.13	10.16	25.16	104.57
ENSG00000109320:NFKB1	12.66	15.77	22.45	19.72	12	9.88	5.59	8.82	28.74	19.05
ENSG00000109321:AREG	109.17	77.5	0.04	4.43	1.68	1.28	3.93	2.5	26.15	2.21
ENSG00000109323:MANBA	23.4	24.99	28.45	28.91	63.89	81.16	1.62	2.04	19.22	12.78
ENSG00000109339:MAPK10	12.04	10.77	0.47	0.17	0.04	0.11	0.06	0.1	0	0
ENSG00000109381:ELF2	21.77	28.47	58.56	46.8	19.7	17.71	7.17	13.67	15.75	14.06
ENSG00000109436:TBC1D9	11.88	17.1	17.08	10.9	19.91	22.07	3.8	9.07	8.47	5.67
ENSG00000109452:INPP4B	1.15	2.09	0.54	0.47	14.53	17.33	1.82	3.54	1.1	0.27
ENSG00000109458:GAB1	28.09	40.17	37.24	30.58	24.63	23.82	2.69	7.12	11.49	1.6
ENSG00000109466:KLHL2	8.63	12.64	26.25	24.18	30.55	28.99	7.11	12.43	7.83	5.15
ENSG00000109472:CPE	2.16	7.81	412.9	410.35	0.9	2.79	13.23	36.61	21.54	25.34
ENSG00000109501:WFS1	31.32	43.69	69.75	36.9	19.58	10.96	2.75	12.24	35.91	20.95
ENSG00000109511:ANXA10	0.11	0	0.16	0	0.06	0	0	0	0.06	0
ENSG00000109534:GAR1	20.74	22.38	25.66	18.2	31.86	28.13	0.56	1.04	98.33	37.16
ENSG00000109572:CLCN3	32.14	27.91	19.14	19.44	42.92	40.13	11.42	24.11	32.34	8.55
ENSG00000109586:GALNT7	5.67	9.41	12.47	8.7	29.99	25.2	7.35	11.55	1.48	0.32
ENSG00000109606:DHX15	80.12	96.03	60.03	41.81	57.24	55.06	23.39	35.3	58.91	25.71
ENSG00000109610:SOD3	17.51	47.53	90.14	32	64.62	35.66	2.12	7.58	37113.85	1425.71
